Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532759,ATLANTA,08 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,09 Nov 2010,-,-,01 Nov 2010,08 Nov 2010,-
530263,GLOBALCA,08 Nov 2010,Stock  Split From Rs.10/- to Rs.1/-,09 Nov 2010,-,-,01 Nov 2010,08 Nov 2010,-
500184,HCIL,08 Nov 2010,Stock  Split From Rs.10/- to Rs.1/-,09 Nov 2010,-,-,01 Nov 2010,08 Nov 2010,-
519248,JVLAGRO,09 Nov 2010,Stock  Split From Rs.10/- to Rs.1/-,10 Nov 2010,-,-,03 Nov 2010,09 Nov 2010,-
500314,ORIENTHOT,10 Nov 2010,Stock  Split From Rs.10/- to Rs.1/-,11 Nov 2010,-,-,03 Nov 2010,10 Nov 2010,-
531548,SOMANYCERA,11 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,12 Nov 2010,-,-,04 Nov 2010,11 Nov 2010,-
532991,MVL,16 Nov 2010,Stock  Split From Rs.2/- to Rs.1/-,18 Nov 2010,-,-,10 Nov 2010,16 Nov 2010,-
530999,BALAMINES,18 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,19 Nov 2010,-,-,11 Nov 2010,18 Nov 2010,-
501455,GREAVESCOT,24 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,25 Nov 2010,-,-,18 Nov 2010,24 Nov 2010,-
524715,SUNPHARMA,25 Nov 2010,Stock  Split From Rs.5/- to Rs.1/-,26 Nov 2010,-,-,19 Nov 2010,25 Nov 2010,-
532710,SADBHAV,07 Dec 2010,Stock  Split From Rs.10/- to Rs.1/-,08 Dec 2010,-,-,01 Dec 2010,07 Dec 2010,-
530901,ACIL,09 Dec 2010,Stock  Split From Rs.5/- to Rs.1/-,10 Dec 2010,-,-,03 Dec 2010,09 Dec 2010,-
531703,TRIBHSG,13 Dec 2010,Stock  Split From Rs.5/- to Rs.1/-,14 Dec 2010,-,-,07 Dec 2010,13 Dec 2010,-
502355,BALKRISIND,20 Dec 2010,Stock  Split From Rs.10/- to Rs.2/-,21 Dec 2010,-,-,13 Dec 2010,20 Dec 2010,-
506395,COROMANDEL,23 Dec 2010,Stock  Split From Rs.2/- to Rs.1/-,24 Dec 2010,-,-,16 Dec 2010,23 Dec 2010,-
500125,EIDPARRY,23 Dec 2010,Stock  Split From Rs.2/- to Rs.1/-,24 Dec 2010,-,-,16 Dec 2010,23 Dec 2010,-
532516,SURYAPHARM,23 Dec 2010,Stock  Split From Rs.10/- to Rs.1/-,24 Dec 2010,-,-,16 Dec 2010,23 Dec 2010,-
531595,MONEYMATF,24 Dec 2010,Stock  Split From Rs.10/- to Rs.5/-,27 Dec 2010,-,-,-,-,-
512449,SVCRES,29 Dec 2010,Stock  Split From Rs.2/- to Rs.1/-,30 Dec 2010,-,-,23 Dec 2010,29 Dec 2010,-
532714,KEC,30 Dec 2010,Stock  Split From Rs.10/- to Rs.2/-,31 Dec 2010,-,-,24 Dec 2010,30 Dec 2010,-
500253,LICHSGFIN,30 Dec 2010,Stock  Split From Rs.10/- to Rs.2/-,31 Dec 2010,-,-,24 Dec 2010,30 Dec 2010,-
505530,PRISMINFO,06 Jan 2011,Stock  Split From Rs.10/- to Rs.1/-,07 Jan 2011,-,-,31 Dec 2010,06 Jan 2011,-
532887,SUJANATWR,10 Jan 2011,Stock  Split From Rs.5/- to Rs.1/-,11 Jan 2011,-,-,04 Jan 2011,10 Jan 2011,-
532638,SHOPERSTOP,12 Jan 2011,Stock  Split From Rs.10/- to Rs.5/-,13 Jan 2011,-,-,06 Jan 2011,12 Jan 2011,-
533168,ROSSELLIND,20 Jan 2011,Stock  Split From Rs.10/- to Rs.2/-,21 Jan 2011,-,-,14 Jan 2011,20 Jan 2011,-
526241,AMRAPLIN,27 Jan 2011,Stock  Split From Rs.10/- to Rs.5/-,28 Jan 2011,-,-,20 Jan 2011,27 Jan 2011,-
523537,APMIN,27 Jan 2011,Stock  Split From Rs.10/- to Rs.2/-,28 Jan 2011,-,-,20 Jan 2011,27 Jan 2011,-
530885,AURUMSOFT,03 Feb 2011,Stock  Split From Rs.10/- to Rs.2/-,04 Feb 2011,-,-,28 Jan 2011,03 Feb 2011,-
500312,ONGC,08 Feb 2011,Stock  Split From Rs.10/- to Rs.5/-,09 Feb 2011,-,-,02 Feb 2011,08 Feb 2011,-
524804,AUROPHARMA,10 Feb 2011,Stock  Split From Rs.5/- to Rs.1/-,11 Feb 2011,-,-,04 Feb 2011,10 Feb 2011,-
